GISJOIN,GEOID10,STATE,COUNTY,epop1790,epop1800,epop1810,epop1820,epop1830,epop1840,epop1850,epop1860,epop1870,epop1880,epop1890,epop1900,epop1910,epop1920,epop1930,epop1940,epop1950,epop1960,epop1970,epop1980,epop1990,epop2000,pop2010
G0100010,01001,Alabama,Autauga,0,0,0,2313.138166,6331.545705,7684.043573,8048.904379,8968.289317,11623,13108,13330,17915,20038,18908,19694,20977,18186,18739,24460,32259,34222,43671,54571
G0100030,01003,Alabama,Baldwin,0,21.678121,25.975907,646.006025,1792.315743,2262.873599,3384.7252,5774.123416,6004,8603,8941,13194,18178,20730,28289,32324,40997,49088,59382,78556,98280,140415,182265
G0100050,01005,Alabama,Barbour,0,0,0,428.478528,2173.344779,11163.22319,21937.79844,28902.19195,29297.8301,33979,34898,35152,32728,32067,32425,32722,28892,24700,22543,24756,25417,29038,27457
G0100070,01007,Alabama,Bibb,0,0,0,2908.011697,6144.098419,7087.618146,8526.041895,10188.31742,7511.626817,9548.687055,13948.09971,18649.80844,22883.62519,23235.5042,20780,20155,17987,14357,13812,15723,16576,19889,22915
G0100090,01009,Alabama,Blount,0,0,0,1152.972992,2417.51263,4346.338687,5637.27931,8251.52439,7377.307768,13357.17091,19362.09876,20445.10948,21456,25538,28020,29490,28975,25449,26853,36459,39248,51022,57322
G0100110,01011,Alabama,Bullock,0,0,0,611.182412,2112.552907,8126.167136,14665.37718,18726.67492,24499.97,29097.30471,27077.03823,31944,30196,25333,20016,19810,16054,13462,11824,10596,11042,11626,10914
G0100130,01013,Alabama,Butler,0,0,0,1067.404716,4501.118934,6946.054225,8676.602767,14500.71411,14977.49718,19651.84536,21641,25772.66121,29030,29531,30195,32447,29228,24560,22007,21680,21892,21399,20947
G0100150,01015,Alabama,Calhoun,0,0,0,0,0,8946.086417,11219.78007,14078.01425,14004.6962,19618.57825,33933.74213,35178.36751,39115,47822,55844.30489,63319,79539,95878,103092,119761,116034,112243,118572
G0100170,01017,Alabama,Chambers,0,0,0,0,0,15519.93373,21453.73636,20785.76944,17564.68066,23443.36457,26319,32554,36056,41201,39313,42146,39528,37828,36356,39191,36876,36614,34215
G0100190,01019,Alabama,Cherokee,0,0,0,0,0,6420.920302,10591.73418,14353.75658,11433.22337,19204.82769,20626.9472,21032.20711,20226,20862,19985.69511,19928,17634,16303,15606,18760,19543,23986,25989
