year,state,abv,district,dem,rep,other,thirdvotes
1968,Alabama,AL,1,40593,60318,4703,0
1968,Alabama,AL,2,37533,60743,11446,0
1968,Alabama,AL,3,86796,0,8794,0
1968,Alabama,AL,4,94726,12427,9252,0
1968,Alabama,AL,5,69110,14582,39193,0
1968,Alabama,AL,6,34608,69445,12977,0
1968,Alabama,AL,7,106132,29923,3393,0
1968,Alabama,AL,8,85528,0,7140,16900
1968,Alaska,AK,1,36785,43577,0,0
1968,Arizona,AZ,1,54594,137761,0,0
1968,Arizona,AZ,2,102301,43235,0,0
1968,Arizona,AZ,3,46072,79667,0,0
1968,Arkansas,AR,1,80293,36284,0,0
1968,Arkansas,AR,2,0,0,0,0
1968,Arkansas,AR,3,59638,121771,0,0
1968,Arkansas,AR,4,0,0,0,0
1968,California,CA,1,37756,133597,6262,0
1968,California,CA,2,127744,78986,3574,0
1968,California,CA,3,107446,80193,4234,0
1968,California,CA,4,90126,67225,4670,0
1968,California,CA,5,95630,31157,4607,0
1968,California,CA,6,54928,151336,0,0
1968,California,CA,7,102689,48397,12279,0
1968,California,CA,8,104768,58887,0,0
1968,California,CA,9,101329,77847,3,0
1968,California,CA,10,73720,160563,4320,0
1968,California,CA,11,40957,166252,2168,0
1968,California,CA,12,0,143222,11489,0
1968,California,CA,13,78628,151608,0,0
1968,California,CA,14,152847,56730,3952,0
1968,California,CA,15,86386,74058,0,0
1968,California,CA,16,97476,55188,3392,0
1968,California,CA,17,77250,73351,1764,0
1968,California,CA,18,51373,100115,2116,0
1968,California,CA,19,99069,53842,4101,0
1968,California,CA,20,57064,136238,3095,0
1968,California,CA,21,89536,8244,0,0
1968,California,CA,22,103695,75457,3116,0
1968,California,CA,23,52202,97232,0,0
1968,California,CA,24,57972,155443,0,0
1968,California,CA,25,66263,145245,0,0
1968,California,CA,26,134642,64505,6622,0
1968,California,CA,27,62824,162854,0,0
1968,California,CA,28,65233,173680,4725,0
1968,California,CA,29,76091,69485,0,0
1968,California,CA,30,76967,37234,0,0
1968,California,CA,31,97855,65004,3315,0
1968,California,CA,32,46404,142401,3991,0
1968,California,CA,33,59649,123507,3174,0
1968,California,CA,34,107513,103470,0,0
1968,California,CA,35,74798,216093,7098,0
1968,California,CA,36,59011,148854,0,0
1968,California,CA,37,9613,52547,0,0
1968,California,CA,38,121749,68887,3665,0
1968,Colorado,CO,1,91199,82677,25499,0
1968,Colorado,CO,2,89917,152153,0,0
1968,Colorado,CO,3,88368,81173,0,0
1968,Colorado,CO,4,92680,76776,0,0
