state,abv,district,dem,rep,other
Alabama,AL,1,89226,153228,163
Alabama,AL,2,86931,138879,420
Alabama,AL,3,83996,147770,149
Alabama,AL,4,46492,184255,222
Alabama,AL,5,101388,159063,222
Alabama,AL,6,85644,192542,142
Alabama,AL,7,185010,0,4153
Alaska,AK,99,131199,149779,1188
Arizona,AZ,1,143240,122784,65
Arizona,AZ,2,161000,133083,69
Arizona,AZ,3,114650,64868,0
Arizona,AZ,4,84521,188842,3672
Arizona,AZ,5,127027,186037,0
Arizona,AZ,6,140559,173140,0
Arizona,AZ,7,113044,301,18706
Arizona,AZ,8,135569,168835,13
Arizona,AZ,9,159583,101662,0
Arkansas,AR,1,57907,138757,4581
Arkansas,AR,2,116135,132125,5193
Arkansas,AR,3,74952,148717,6039
Arkansas,AR,4,63984,136740,4168
California,CA,1,131548,160046,0
California,CA,2,243081,72576,0
California,CA,3,134875,97376,0
California,CA,4,156253,184401,0
California,CA,5,205860,0,55158
California,CA,6,201939,0,0
California,CA,7,155016,126601,0
California,CA,8,0,170785,0
California,CA,9,113414,87349,0
California,CA,10,115945,105955,0
California,CA,11,204369,71312,0
California,CA,12,275292,41780,0
California,CA,13,260580,0,34257
California,CA,14,211384,55439,0
California,CA,15,177989,65940,0
California,CA,16,82266,60693,0
California,CA,17,159105,52057,0
California,CA,18,225142,77096,0
California,CA,19,162496,57823,0
California,CA,20,183677,0,42044
California,CA,21,57239,56377,0
California,CA,22,105136,117243,0
California,CA,23,74661,131113,0
California,CA,24,166550,117881,0
California,CA,25,133209,111813,0
California,CA,26,158216,97210,0
California,CA,27,202636,0,0
California,CA,28,196662,54272,0
California,CA,29,124697,29995,0
California,CA,30,191573,69420,0
California,CA,31,110143,77352,0
California,CA,32,121759,55272,0
California,CA,33,219091,93769,0
California,CA,34,110195,0,41711
California,CA,35,103420,45604,0
California,CA,36,122169,84839,0
California,CA,37,210555,25823,0
California,CA,38,139188,62968,0
California,CA,39,126002,118391,0
California,CA,40,93938,0,27511
California,CA,41,108227,58021,0
California,CA,42,100892,131040,0
California,CA,43,152272,43780,0
California,CA,44,143322,0,0
California,CA,45,158906,146383,0
California,CA,46,102278,45638,0
California,CA,47,143354,77682,0
California,CA,48,157837,136899,0
