year,stcd,inc,dv,dvp,fr,redist,dpres,incwin,inc3,decade,ptynow,cprescat,cexpx,split,state,midterm,preswin,south,iexpx
1946,101,1,,,0,0,,1,1,40,1,0,,1,1,0,,1,
1946,102,1,,,0,0,,1,1,40,1,0,,1,1,0,,1,
1946,103,1,,,0,0,,1,1,40,1,0,,1,1,0,,1,
1946,104,1,88.099998,84.5,0,0,,1,1,40,1,0,,1,1,0,,1,
1946,105,1,,,1,0,,1,1,40,1,0,,1,1,0,,1,
1946,106,1,,,0,0,,1,1,40,1,0,,1,1,0,,1,
1946,107,1,72.699997,65.900002,0,0,,1,1,40,1,0,,1,1,0,,1,
1946,108,1,92.400002,,0,0,,1,1,40,1,0,,1,1,0,,1,
1946,109,2,94.099998,81.699997,9,0,,,0,40,1,,,1,1,0,,1,
1946,301,1,,,0,0,,1,1,40,1,0,,1,3,0,,0,
1946,302,1,,,0,0,,1,1,40,1,0,,1,3,0,,0,
1946,401,1,,,0,0,,1,1,40,1,0,,1,4,0,,1,
1946,402,1,,,0,0,,1,1,40,1,0,,1,4,0,,1,
1946,403,1,,63.299999,1,0,,1,1,40,1,0,,1,4,0,,1,
1946,404,1,,,0,0,,1,1,40,1,0,,1,4,0,,1,
1946,405,1,85.199997,87.099998,0,0,,1,1,40,1,0,,1,4,0,,1,
1946,406,1,,,0,0,,1,1,40,1,0,,1,4,0,,1,
1946,407,1,,,0,0,,1,1,40,1,0,,1,4,0,,1,
1946,501,1,,,0,0,,1,1,40,1,0,,1,5,0,,0,
1946,502,1,,63.799999,0,0,,1,1,40,1,0,,1,5,0,,0,
1946,503,0,,,0,0,,1,-1,40,-1,0,,1,5,0,,0,
1946,504,1,52.900002,50.099998,1,0,,1,1,40,1,0,,1,5,0,,0,
1946,505,0,,,0,0,,1,-1,40,-1,0,,1,5,0,,0,
1946,506,1,,52,1,0,,1,1,40,1,0,,1,5,0,,0,
1946,507,2,43.799999,57.900002,9,0,,,0,40,1,,,1,5,0,,0,
1946,508,0,,43.5,0,0,,1,-1,40,-1,0,,1,5,0,,0,
1946,509,0,46.299999,,0,0,,1,-1,40,-1,0,,1,5,0,,0,
1946,510,1,,,0,0,,1,1,40,1,0,,1,5,0,,0,
1946,511,1,46.900002,56,0,0,,0,1,40,1,0,,1,5,0,,0,
1946,512,1,43.299999,55.299999,0,0,,0,1,40,1,0,,1,5,0,,0,
1946,513,1,48.200001,54.900002,1,0,,0,1,40,1,0,,1,5,0,,0,
1946,514,1,54.299999,51.5,1,0,,1,1,40,1,0,,1,5,0,,0,
1946,515,0,,41.599998,1,0,,1,-1,40,-1,0,,1,5,0,,0,
1946,516,2,37,54.099998,9,0,,,0,40,1,,,1,5,0,,0,
1946,517,1,,,0,0,,1,1,40,1,0,,1,5,0,,0,
1946,518,1,47.200001,55.599998,1,0,,0,1,40,1,0,,1,5,0,,0,
1946,519,1,,71.699997,0,0,,1,1,40,1,0,,1,5,0,,0,
1946,520,0,40.599998,46.5,0,0,,1,-1,40,-1,0,,1,5,0,,0,
1946,521,1,52.700001,58.5,0,0,,1,1,40,1,0,,1,5,0,,0,
1946,522,0,37.900002,,0,0,,1,-1,40,-1,0,,1,5,0,,0,
1946,523,1,43.700001,55.099998,0,0,,0,1,40,1,0,,1,5,0,,0,
1946,601,0,52.099998,47.799999,0,0,,0,-1,40,-1,0,,1,6,0,,0,
1946,602,0,33.400002,36.799999,0,0,,1,-1,40,-1,0,,1,6,0,,0,
1946,603,0,45.400002,43.700001,0,0,,1,-1,40,-1,0,,1,6,0,,0,
1946,604,0,41.299999,38.299999,0,0,,1,-1,40,-1,0,,1,6,0,,0,
1946,701,1,46.900002,54,0,0,,0,1,40,1,0,,1,7,0,,0,
1946,702,1,44.700001,51.200001,1,0,,0,1,40,1,0,,1,7,0,,0,
1946,703,1,41.099998,51.5,1,0,,0,1,40,1,0,,1,7,0,,0,
1946,704,3,38.299999,49.5,9,0,,,0,40,-1,,,1,7,0,,0,
1946,705,3,43.5,47.700001,9,0,,,0,40,-1,,,1,7,0,,0,
1946,706,1,42.400002,51.200001,1,0,,0,1,40,1,0,,1,7,0,,0,
1946,801,1,43.599998,50.299999,0,0,,0,1,40,1,0,,1,8,0,,0,
1946,901,1,,,0,0,,1,1,40,1,0,,1,9,0,,1,
1946,902,1,,,0,0,,1,1,40,1,0,,1,9,0,,1,
1946,903,1,,,0,0,,1,1,40,1,0,,1,9,0,,1,
1946,904,2,71.900002,72,9,0,,,0,40,1,,,1,9,0,,1,
1946,905,1,61.299999,67.5,0,0,,1,1,40,1,0,,1,9,0,,1,
1946,906,1,71.099998,69.699997,1,0,,1,1,40,1,0,,1,9,0,,1,
1946,1001,2,,,9,0,,,0,40,1,,,1,10,0,,1,
1946,1002,1,,,0,0,,1,1,40,1,0,,1,10,0,,1,
1946,1003,1,,,0,0,,1,1,40,1,0,,1,10,0,,1,
1946,1004,1,,,0,0,,1,1,40,1,0,,1,10,0,,1,
1946,1005,2,,,9,0,,,0,40,1,,,1,10,0,,1,
1946,1006,1,,,0,0,,1,1,40,1,0,,1,10,0,,1,
1946,1007,2,,,9,0,,,0,40,1,,,1,10,0,,1,
1946,1008,2,,,9,0,,,0,40,1,,,1,10,0,,1,
1946,1009,1,,,0,0,,1,1,40,1,0,,1,10,0,,1,
1946,1010,1,,,0,0,,1,1,40,1,0,,1,10,0,,1,
1946,1201,1,49.5,56.599998,0,0,,0,1,40,1,0,,1,12,0,,0,
1946,1202,3,39.299999,47.700001,9,0,,,0,40,-1,,,1,12,0,,0,
1946,1301,1,56.799999,62,0,0,,1,1,40,1,0,,1,13,0,,0,
1946,1302,1,48.700001,57.299999,0,0,,0,1,40,1,0,,1,13,0,,0,
1946,1303,1,42.799999,52,1,0,,0,1,40,1,0,,1,13,0,,0,
1946,1304,1,70.699997,80.400002,0,0,,1,1,40,1,0,,1,13,0,,0,
1946,1305,1,71.599998,76.300003,0,0,,1,1,40,1,0,,1,13,0,,0,
1946,1306,1,52,60.099998,0,0,,1,1,40,1,0,,1,13,0,,0,
1946,1307,1,45,54.599998,0,0,,0,1,40,1,0,,1,13,0,,0,
1946,1308,1,77.300003,79.199997,0,0,,1,1,40,1,0,,1,13,0,,0,
1946,1309,1,48.700001,52.799999,1,0,,0,1,40,1,0,,1,13,0,,0,
1946,1310,0,35.299999,44.200001,0,0,,1,-1,40,-1,0,,1,13,0,,0,
1946,1311,0,25.1,33.799999,0,0,,1,-1,40,-1,0,,1,13,0,,0,
1946,1312,0,30.9,39.099998,0,0,,1,-1,40,-1,0,,1,13,0,,0,
1946,1313,0,22.200001,30,0,0,,1,-1,40,-1,0,,1,13,0,,0,
1946,1314,0,37.900002,45.599998,0,0,,1,-1,40,-1,0,,1,13,0,,0,
