"county_fips","state","dem","gop","other"
"01001","ALABAMA",7503,19838,429
"01003","ALABAMA",24578,83544,1557
"01005","ALABAMA",4816,5622,80
"01007","ALABAMA",1986,7525,84
"01009","ALABAMA",2640,24711,237
"01011","ALABAMA",3446,1146,21
"01013","ALABAMA",3965,5458,65
"01015","ALABAMA",15216,35101,666
"01017","ALABAMA",6365,8753,166
"01019","ALABAMA",1624,10583,94
"01021","ALABAMA",3073,16085,152
"01023","ALABAMA",3127,4296,41
"01025","ALABAMA",5755,7324,56
"01027","ALABAMA",1267,5601,62
"01029","ALABAMA",675,6484,68
"01031","ALABAMA",5076,16899,300
"01033","ALABAMA",8343,19203,340
"01035","ALABAMA",2966,3442,33
"01037","ALABAMA",1796,3631,52
"01039","ALABAMA",2721,14586,123
"01041","ALABAMA",1700,4864,53
"01043","ALABAMA",4478,36880,493
"01045","ALABAMA",5170,14303,265
"01047","ALABAMA",12230,5524,110
"01049","ALABAMA",4281,24767,308
"01051","ALABAMA",10367,30164,499
"01053","ALABAMA",4918,10869,123
"01055","ALABAMA",11567,35528,633
"01057","ALABAMA",1395,7300,71
"01059","ALABAMA",2086,10376,116
"01061","ALABAMA",1595,10848,102
"01063","ALABAMA",3884,875,16
"01065","ALABAMA",4663,3192,45
"01067","ALABAMA",2606,6607,85
"01069","ALABAMA",12917,32618,638
"01071","ALABAMA",3717,19670,249
"01073","ALABAMA",181688,138843,5317
"01075","ALABAMA",978,6174,41
"01077","ALABAMA",11915,31721,703
"01079","ALABAMA",3562,12322,147
"01081","ALABAMA",27860,42221,1368
"01083","ALABAMA",13672,34640,923
"01085","ALABAMA",4972,1836,27
"01087","ALABAMA",7108,1541,74
"01089","ALABAMA",87286,102780,4701
"01091","ALABAMA",5488,5343,69
"01093","ALABAMA",1463,12205,139
"01095","ALABAMA",5943,33191,521
"01097","ALABAMA",79474,101243,2447
"01099","ALABAMA",4455,6147,66
"01101","ALABAMA",64529,33311,1299
"01103","ALABAMA",13234,39664,824
"01105","ALABAMA",3860,1339,31
"01107","ALABAMA",4022,5594,52
"01109","ALABAMA",5636,8042,163
"01111","ALABAMA",2203,8559,75
"01113","ALABAMA",11228,9864,237
"01115","ALABAMA",7744,36166,531
"01117","ALABAMA",33268,79700,1982
"01119","ALABAMA",4648,1598,45
"01121","ALABAMA",13138,22235,290
"01123","ALABAMA",5859,14963,169
"01125","ALABAMA",37765,51117,1290
"01127","ALABAMA",4834,26002,334
"01129","ALABAMA",2258,6564,54
"01131","ALABAMA",4048,1833,22
"01133","ALABAMA",974,10195,115
"02001","ALASKA",3477,3511,326
"02002","ALASKA",2104,3674,358
"02003","ALASKA",1903,6076,406
"02004","ALASKA",5345,4690,476
"02005","ALASKA",4204,4077,373
"02006","ALASKA",3272,5770,418
"02007","ALASKA",2215,7027,380
"02008","ALASKA",1953,7618,341
"02009","ALASKA",2769,7787,437
"02010","ALASKA",2727,8081,397
"02011","ALASKA",3130,7096,402
"02012","ALASKA",2957,7893,388
"02013","ALASKA",2666,4652,395
"02014","ALASKA",4261,6714,468
"02015","ALASKA",2622,2671,266
"02016","ALASKA",4274,3516,328
"02017","ALASKA",4136,2810,293
"02018","ALASKA",4681,2760,279
"02019","ALASKA",3118,1975,208
"02020","ALASKA",4881,2383,233
"02021","ALASKA",5414,3690,325
"02022","ALASKA",4553,4684,283
"02023","ALASKA",3810,3655,274
"02024","ALASKA",4736,5378,314
"02025","ALASKA",4600,4407,318
"02026","ALASKA",4558,5243,310
"02027","ALASKA",4844,4324,338
"02028","ALASKA",6264,6162,323
"02029","ALASKA",2985,7464,298
"02030","ALASKA",2638,7180,358
"02031","ALASKA",5037,6971,402
"02032","ALASKA",3506,4440,389
"02033","ALASKA",7535,3059,361
"02034","ALASKA",5763,4543,423
"02035","ALASKA",5011,4769,322
"02036","ALASKA",3796,5114,382
"02037","ALASKA",2560,2358,224
"02038","ALASKA",3202,1737,360
"02039","ALASKA",3580,1939,372
"02040","ALASKA",2318,1994,291
"02099","ALASKA",373,59,1
"04001","ARIZONA",23293,11442,437
"04003","ARIZONA",23732,35557,1153
"04005","ARIZONA",44698,27052,1522
"04007","ARIZONA",8943,18377,342
"04009","ARIZONA",4034,10749,212
"04011","ARIZONA",1182,2433,70
"04012","ARIZONA",2236,5129,93
"04013","ARIZONA",1040774,995665,31705
"04015","ARIZONA",24831,78535,1302
"04017","ARIZONA",23383,27657,727
"04019","ARIZONA",304981,207758,7658
"04021","ARIZONA",75106,107077,2791
"04023","ARIZONA",13138,6194,224
"04025","ARIZONA",49602,91527,2092
"04027","ARIZONA",32210,36534,1137
"05001","ARKANSAS",1818,4304,170
"05003","ARKANSAS",2125,5548,253
"05005","ARKANSAS",4635,15836,536
"05007","ARKANSAS",42249,73965,3698
"05009","ARKANSAS",3064,13652,398
"05011","ARKANSAS",1214,2335,105
"05013","ARKANSAS",479,1636,67
"05015","ARKANSAS",4023,7424,350
"05017","ARKANSAS",2260,1752,91
"05019","ARKANSAS",3438,4616,341
"05021","ARKANSAS",962,4086,135
"05023","ARKANSAS",1988,10328,364
"05025","ARKANSAS",651,2867,82
