"district","dem","gop","oth","DEMtp","dem_vote","gop_vote"
1,218566,145148,6657,0.600928201828909,0.590127196783765,0.391898933771813
2,146697,42513,2770,0.775313144125575,0.764126471507449,0.221444942181477
3,263497,18422,3096,0.934654989553737,0.924502219181447,0.0646351946388787
4,244339,120173,5887,0.67031812395751,0.659664307948996,0.324442020631805
5,224237,90132,4666,0.713292341165955,0.702860187753695,0.282514457661385
6,201074,120595,6443,0.625095983759703,0.612821231774516,0.367542180718779
7,165527,127245,6321,0.565378519803806,0.553429869639209,0.425436235552153
8,153854,127542,5386,0.546752619084848,0.536484158698942,0.444735025210787
9,115634,179957,7758,0.391195943042921,0.381191301108624,0.593234195596491
10,172630,135417,6518,0.560401497174133,0.548789598334208,0.430489723904439
11,146055,166171,6169,0.467786154900617,0.4587226558206,0.521902039918969
12,229981,102147,5471,0.692446887946816,0.681225359079855,0.302569024197347
13,110639,205316,5259,0.350173284170214,0.344440155161357,0.639187582110369
14,142355,177989,5466,0.444381664710436,0.436926429514134,0.546296921518676
15,116126,185270,5883,0.385293766340628,0.377917137194537,0.602937395656716
16,152965,162101,6227,0.485501450489739,0.476091916101502,0.504527020507761
17,226856,132199,6583,0.631814067482698,0.620438794654823,0.361557059167811
