"district","dem","gop","oth","DEM"
5,8455,16206,0,0.342849032885933
6,5631,16185,0,0.258113311331133
7,9163,17085,0,0.349093264248705
8,670,2771,0,0.25
9,8839,16492,0,0.348940033950495
10,1979,42,0,0.75
15,0,11373,0,0.25
17,3736,15207,0,0.25
18,11430,12099,403,0.485783501211271
19,11624,0,0,0.75
20,18652,8725,0,0.681301822697885
21,21022,8850,0,0.703735940010712
22,6643,3480,0,0.656228390793243
24,10540,980,0,0.75
26,17649,13770,0,0.561730163276998
27,19642,0,0,0.75
28,12013,15219,0,0.441135428907168
29,22079,16043,0,0.579166885263103
30,11401,9126,0,0.555414819506016
31,24323,15612,0,0.609064730186553
33,15964,13239,0,0.546656165462452
36,9010,0,0,0.75
37,776,25344,0,0.25
39,0,4402,0,0.25
40,0,8772,0,0.25
41,0,18565,0,0.25
42,18000,0,0,0.75
43,0,15122,0,0.25
45,8891,0,0,0.75
46,0,15291,0,0.25
47,3672,5953,0,0.381506493506494
48,0,20203,0,0.25
50,0,18248,0,0.25
51,8019,14616,0,0.35427435387674
52,7189,16550,0,0.30283499726189
53,15850,11284,0,0.584137981867767
54,5362,3203,0,0.626036193812026
58,627,1135,0,0.355845629965948
61,20708,13826,0,0.599640933572711
64,878,2842,0,0.25
65,1517,5260,0,0.25
69,5132,23559,0,0.25
70,11050,9229,0,0.544898663642191
71,1100,2652,0,0.29317697228145
74,8034,8649,0,0.481568063297968
78,4284,23689,0,0.25
79,7510,15640,0,0.324406047516199
80,5960,22319,0,0.25
81,4113,12942,0,0.25
85,1495,5931,0,0.25
86,6340,20709,0,0.25
87,7420,12064,0,0.380825292547731
88,6983,8953,0,0.438190261044177
93,9868,20179,0,0.328418810530169
94,8388,17998,0,0.317895853861896
95,3347,3078,0,0.520933852140078
96,0,12995,0,0.25
97,0,2837,0,0.25
98,2195,22954,0,0.25
99,3172,9426,0,0.251785997777425
101,8123,14440,0,0.360014182511191
102,7498,19783,0,0.274843297533082
103,6995,7691,0,0.476303962957919
110,3014,8737,0,0.256488809463024
111,7993,20879,0,0.276842615683015
112,15673,12100,0,0.564325063910993
113,12164,8094,0,0.600454141573699
114,16276,10414,0,0.609816410640689
115,10120,10299,0,0.495616827464616
117,1950,6735,0,0.25
118,14767,12356,0,0.544445673413708
119,5967,8751,0,0.405421932327762
120,9523,16284,0,0.369008408571318
121,7727,5837,0,0.569669713948688
124,2413,5885,0,0.290792962159557
125,2539,8539,0,0.25
128,4778,6680,0,0.417001221853727
130,7614,12733,0,0.374207499877132
131,15054,17900,0,0.456818595618134
132,15403,11063,0,0.581991989722663
133,14122,9367,0,0.601217591212908
134,10140,6875,0,0.595944754628269
135,15883,7333,0,0.684140248104755
136,13216,7966,0,0.623925974884336
137,17106,13392,0,0.560889238638599
138,13338,17151,0,0.437469251205353
139,9476,20017,0,0.321296578849218
140,13704,10903,114,0.556914699069371
141,13316,9384,0,0.586607929515419
142,13397,17275,328,0.436782733437663
143,16443,18061,0,0.476553443079063
144,15725,15500,465,0.503602882305845
145,12899,17140,0,0.429408435700256
146,14090,11789,0,0.544456895552378
147,14169,18317,0,0.436157113833651
150,16322,11854,0,0.579287336740488
151,20783,12571,0,0.623103675721053
152,17611,10763,0,0.62067385634736
153,22135,10658,0,0.674991614063977
154,26474,6232,0,0.75
155,16722,12743,0,0.567520787374852
157,2820,2091,0,0.574221136224801
161,2089,2178,0,0.489571127255683
162,14894,10890,0,0.577645051194539
163,15941,9330,0,0.63080210517985
164,14815,3373,0,0.75
165,20083,14531,0,0.580198763506096
166,2920,3345,0,0.466081404628891
167,8802,6244,0,0.585005981656254
168,4220,4425,0,0.488143435511857
169,8728,18824,0,0.31678281068525
171,2552,8965,0,0.25
176,9294,14981,0,0.382863027806385
177,6799,0,0,0.75
178,15066,19921,651,0.430617086346357
179,5733,0,0,0.75
180,6712,0,0,0.75
183,12252,17218,0,0.415744825246013
185,11877,4235,0,0.737152432969216
186,16840,1448,0,0.75
187,13941,16980,0,0.450858639759387
188,13871,594,0,0.75
189,10159,10237,0,0.498087860364777
191,17432,715,0,0.75
193,3122,6406,0,0.327665827036104
194,4058,562,0,0.75
196,3313,9387,0,0.260866141732283
197,2582,0,0,0.75
198,2539,72,0,0.75
199,10744,15593,0,0.407943197782587
200,29035,966,0,0.75
201,18476,540,0,0.75
202,7378,0,0,0.75
203,7290,0,0,0.75
