"district","dem","gop","oth","DEMtp","dem_vote","gop_vote"
1,165809,201571,0,0.451328324895204,45.1328324895204,54.8671675104796
2,140654,45394,0,0.756009201926385,75.6009201926385,24.3990798073615
3,249967,0,12778,1,95.1367295286304,0
4,224799,141986,0,0.612890385375629,61.2890385375629,38.7109614624371
5,204612,110044,0,0.650272043120106,65.0272043120106,34.9727956879894
6,190386,136097,0,0.583142154415391,58.3142154415391,41.6857845584609
7,151364,145527,0,0.509830207045683,50.9830207045683,49.0169792954317
8,146956,139930,0,0.512245282098116,51.2245282098116,48.7754717901884
9,92622,209185,0,0.306891490257019,30.6891490257019,69.3108509742981
10,145215,169331,0,0.461665384395287,46.1665384395287,53.8334615604713
11,121835,194991,0,0.38454861659081,38.454861659081,61.545138340919
12,184674,143946,0,0.561968230783276,56.1968230783276,43.8031769216724
13,0,260345,0,0,0,100
14,0,230865,0,0,0,100
15,91729,213417,0,0.300606922587876,30.0606922587876,69.9393077412124
16,130353,190388,0,0.406412027149632,40.6412027149632,59.3587972850368
17,193615,169013,0,0.533921815193532,53.3921815193532,46.6078184806468
