"district","dem","gop","oth","DEMtp","dem_vote","gop_vote"
1,85238,6621,3542,0.927922141543017,89.3470718336286,6.94017882412134
2,35467,10035,0,0.77946024350578,77.946024350578,22.053975649422
3,62383,2314,1311,0.964233272021887,94.5082414252818,3.50563568052357
4,104159,14937,1457,0.874580170618661,86.4010020488914,12.3904009025076
5,43974,28816,0,0.604121445253469,60.4121445253469,39.5878554746531
6,52875,73407,0,0.418705753789139,41.8705753789139,58.1294246210861
7,82448,5074,3533,0.942026004890199,90.5474713085498,5.5724562077865
8,68226,7659,2935,0.899070962640838,86.5592489215935,9.71707688403958
9,66438,47622,0,0.582482903734876,58.2482903734876,41.7517096265124
10,66400,66402,0,0.499992469992922,49.9992469992922,50.0007530007078
11,43337,33783,0,0.561942427385892,56.1942427385892,43.8057572614108
12,75628,54697,0,0.580303088432764,58.0303088432764,41.9696911567236
13,40412,53205,0,0.431673734471303,43.1673734471303,56.8326265528697
14,47104,40216,0,0.539441136051306,53.9441136051306,46.0558863948694
15,56337,46546,0,0.547583177006891,54.7583177006891,45.2416822993109
16,56845,69632,0,0.449449306988622,44.9449306988622,55.0550693011378
17,86123,35387,0,0.708772940498724,70.8772940498724,29.1227059501276
18,57411,47141,0,0.549114316321065,54.9114316321065,45.0885683678935
19,72678,47488,0,0.604813341544197,60.4813341544197,39.5186658455803
20,44980,68966,0,0.39474838958805,39.474838958805,60.525161041195
21,31923,77556,0,0.29159016797742,29.159016797742,70.840983202258
22,54913,37445,0,0.594566794430369,59.4566794430369,40.5433205569631
23,29567,74892,0,0.283048851702582,28.3048851702582,71.6951148297418
24,61684,58942,0,0.511365708885315,51.1365708885315,48.8634291114685
25,34477,68801,0,0.333827146149228,33.3827146149228,66.6172853850772
26,66925,43431,0,0.606446409801008,60.6446409801008,39.3553590198992
27,31852,70163,0,0.31222859383424,31.222859383424,68.777140616576
28,38841,74377,0,0.343063823773605,34.3063823773605,65.6936176226395
29,30950,64393,0,0.324617433896563,32.4617433896563,67.5382566103437
30,0,83834,0,0,0,100
31,42588,59761,0,0.416105677632415,41.6105677632415,58.3894322367585
32,0,81384,0,0,0,100
33,0,88181,0,0,0,100
34,36818,75413,0,0.328055528329962,32.8055528329962,67.1944471670038
35,18428,78463,0,0.190193103590633,19.0193103590633,80.9806896409367
36,50771,71828,0,0.414122464294162,41.4122464294162,58.5877535705838
37,57841,64250,0,0.473753184100384,47.3753184100384,52.6246815899616
38,69252,57556,0,0.546116964229386,54.6116964229386,45.3883035770614
39,17947,84796,0,0.174678566909668,17.4678566909668,82.5321433090332
40,49883,47830,0,0.510505255186106,51.0505255186106,48.9494744813894
41,8974,77738,0,0.103492019559,10.3492019559,89.6507980441
42,71776,35653,0,0.668124994182204,66.8124994182204,33.1875005817796
43,81067,24210,0,0.770035240365892,77.0035240365892,22.9964759634108
44,73267,54316,0,0.574269299201304,57.4269299201304,42.5730700798696
45,49831,51391,0,0.492294165300034,49.2294165300034,50.7705834699966
46,745,75483,0,0.00977331164401532,0.977331164401532,99.0226688355985
47,47970,70464,0,0.40503571609504,40.503571609504,59.496428390496
48,35323,72745,0,0.326859014694452,32.6859014694452,67.3140985305548
49,55375,47049,0,0.540644770756854,54.0644770756854,45.9355229243146
50,37139,69737,0,0.347496163778585,34.7496163778585,65.2503836221416
