"district","dem","gop","oth","DEMtp","dem_vote","gop_vote"
1,194301,166287,9999,0.538844886685081,0.524306033401064,0.448712448089113
2,138480,50020,3852,0.734641909814324,0.719930128098486,0.260044085842622
3,257815,23367,3730,0.916897240932919,0.904893440781715,0.0820147975515247
4,221563,139218,9462,0.614120477519603,0.598425898666551,0.376017912560129
5,208626,103425,6897,0.668563792457002,0.654106625531435,0.32426915986305
6,184694,134840,8618,0.578010477758235,0.562830639459763,0.410907140593384
7,151653,138743,8694,0.522228267606992,0.507048045738741,0.463883780801765
8,141802,138276,6960,0.506294675054806,0.494018213616316,0.481734125795191
9,100315,192442,10541,0.342656196094372,0.330747317819438,0.634498084392248
10,151987,154772,7829,0.495460605882794,0.483130316477424,0.491983165282846
11,126792,184212,7740,0.407686074777173,0.397786311271742,0.577930878698893
12,213905,119061,5313,0.642422950091,0.632333074178415,0.351960955306123
13,92441,219372,8825,0.296462944136389,0.288303320255241,0.684173429225482
14,123576,195211,7090,0.387644414609128,0.379210561039902,0.59903276389558
15,102447,195623,8324,0.343701144026571,0.334363597198379,0.638468768970672
16,134778,178183,8441,0.430654298778442,0.419343999103926,0.554392940927561
17,205142,154039,6915,0.571138228358404,0.560350290634151,0.420761221100476
