"district","dem","gop","oth","DEMtp"
1,87243,16065,1391,0.844494134045766
2,35865,10831,1059,0.768052938153161
3,64341,4023,923,0.941153238546603
4,103005,17316,2086,0.856084972698033
5,40307,32558,1787,0.553173677348521
6,63880,59969,3379,0.515789388691067
7,83909,12081,1521,0.874143139910407
8,72434,10498,1307,0.873414363574977
9,66463,45497,2651,0.593631654162201
10,76311,53977,3423,0.585710119120717
11,43577,34988,2637,0.554661745051868
12,77769,49837,3189,0.609446264282244
13,41337,50745,2108,0.448915097413175
14,46850,38046,2620,0.5518516773464
15,58639,42268,2351,0.581119248416859
16,59934,63521,3710,0.485472439350371
17,86181,33690,2229,0.718947868959131
18,57222,44906,2851,0.560296882343726
19,70250,46860,2872,0.599863376312868
20,45049,66716,3060,0.403068939292265
21,35798,70930,3169,0.335413387302301
22,52712,37502,2007,0.584299554392888
23,31426,70616,3414,0.307971227533761
24,61606,56478,3642,0.521713356593611
25,38387,62127,2719,0.381906998030125
26,68105,40041,2689,0.629750522441884
27,34649,64763,3236,0.348539411741037
28,41758,68666,3083,0.378160544809099
29,32991,59355,3380,0.357254239490611
30,26457,71948,2838,0.268858289721051
31,45044,54860,2717,0.450872837924407
32,29928,71184,2289,0.295988606693568
33,34814,73858,2967,0.320358510011779
34,47011,67597,3161,0.410189515566104
35,39125,66498,3053,0.370421215076262
36,51779,68137,2864,0.431793922412355
37,64164,57498,2030,0.527395571336983
38,74410,51734,2168,0.589881405377981
39,49731,74772,2591,0.399436158164863
40,48541,46756,2731,0.509365457464558
41,36566,67717,2446,0.350642003011037
42,77225,30456,1850,0.717164587996025
43,86992,19461,1377,0.817186927564277
44,71651,52636,3372,0.576496335095384
45,61082,41483,1779,0.595544288987471
46,44880,62540,2242,0.417799292496742
47,50957,64917,2922,0.439762155444707
48,37465,68364,3719,0.354014495081688
49,55300,44461,2710,0.554324836358898
50,39197,65344,2911,0.374943801953301
