state,year,ecvotes,rep,dem,other,pop,house,total,pctdem,ecweight,popweight,houseweight,totalweight,demwin,greenback,prohibition,populist,socialist,progressive,dixiecrat,amerind,independent,reform,green,lib
Alabama,1868,8,76667,72921,6,996992,6,149588,0.487478942,0.027491409,0.028439796,0.026666667,157327.0103,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,1868,5,22112,19078,0,484471,3,41190,0.463170672,0.017182131,0.013819826,0.013333333,98329.38144,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California,1868,5,54588,54068,0,560247,3,108656,0.497607127,0.017182131,0.015981382,0.013333333,98329.38144,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,1868,6,50788,47844,0,537454,4,98632,0.485075837,0.020618557,0.015331198,0.017777778,117995.2577,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware,1868,3,7614,10957,0,125015,1,18571,0.590005923,0.010309278,0.003566128,0.004444444,58997.62887,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,1868,9,57109,102707,0,1184109,7,159816,0.642657806,0.030927835,0.033777421,0.031111111,176992.8866,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,1868,16,250304,199116,0,2539891,14,449420,0.443051044,0.054982818,0.072451917,0.062222222,314654.0206,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana,1868,13,176552,166980,0,1680637,11,343532,0.486068256,0.04467354,0.04794118,0.048888889,255656.3918,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa,1868,8,120399,74040,0,1194020,6,194439,0.380787805,0.027491409,0.034060138,0.026666667,157327.0103,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas,1868,3,30027,13600,3,364399,1,43627,0.311733559,0.010309278,0.0103947,0.004444444,58997.62887,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky,1868,11,39566,115889,0,1321011,9,155455,0.745482616,0.037800687,0.037682633,0.04,216324.6392,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana,1868,7,33263,80225,0,726915,5,113488,0.706902932,0.024054983,0.020735687,0.022222222,137661.134,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maine,1868,7,70502,42460,0,626915,5,112962,0.375878614,0.024054983,0.017883127,0.022222222,137661.134,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
