ST,District,CODE,map,CLINTON_2016
SC,01,SC-01,2022,0.42170342139725775
,02,undefined-02,2022,0.40974306826158957
,03,undefined-03,2022,0.30319767073497694
,04,undefined-04,2022,0.3738554062412673
,05,undefined-05,2022,0.39440271564378726
,06,undefined-06,2022,0.6642870050617662
,07,undefined-07,2022,0.40250687338838165
WY,01,WY-01,2022,0.24294680099353702
WI,01,WI-01,2022,0.4857756937970522
WI,02,WI-02,2022,0.7011754578921363
WI,03,WI-03,2022,0.4760408545326932
WI,04,WI-04,2022,0.7636664084775404
WI,05,WI-05,2022,0.3559241513116482
WI,06,WI-06,2022,0.40814422960723196
WI,07,WI-07,2022,0.39240785598891675
WI,08,WI-08,2022,0.408907331945309
MA,01,MA-01,2022,0.5946957067530287
MA,02,MA-02,2022,0.6295123326083989
MA,03,MA-03,2022,0.6157230456517352
MA,04,MA-04,2022,0.6217382650508152
MA,05,MA-05,2022,0.7333978532077656
MA,06,MA-06,2022,0.5980568335081281
MA,07,MA-07,2022,0.877525978275128
MA,08,MA-08,2022,0.6479587341372974
MA,09,MA-09,2022,0.5533246446207374
WV,01,WV-01,2022,0.27321543583399777
WV,02,WV-02,2022,0.2835946297378537
RI,01,RI-01,2022,0.6320857706063395
RI,02,RI-02,2022,0.5393810409872756
TN,01,TN-01,2022,0.20407626044887553
TN,02,TN-02,2022,0.3132228241621425
TN,03,TN-03,2022,0.3147761582714078
TN,04,TN-04,2022,0.28490920622485255
TN,05,TN-05,2022,0.40945096376431184
TN,06,TN-06,2022,0.33348535492290926
TN,07,TN-07,2022,0.4090774313510327
TN,08,TN-08,2022,0.2982530540941955
TN,09,TN-09,2022,0.7415897360461953
TX,01,TX-01,2022,0.25389472260916446
TX,02,TX-02,2022,0.333147565208349
TX,03,TX-03,2022,0.36164209157351523
TX,04,TX-04,2022,0.3197660823697122
TX,05,TX-05,2022,0.35045742407240815
TX,06,TX-06,2022,0.33775918282150885
TX,07,TX-07,2022,0.6575800557449039
TX,08,TX-08,2022,0.33398384447890866
TX,09,TX-09,2022,0.7959880177934526
TX,10,TX-10,2022,0.3606403012483012
TX,11,TX-11,2022,0.28001406454336497
TX,12,TX-12,2022,0.36482497966481253
TX,13,TX-13,2022,0.2312341738474021
TX,14,TX-14,2022,0.35233221669842246
TX,15,TX-15,2022,0.568635382152805
TX,16,TX-16,2022,0.7225299829709381
TX,17,TX-17,2022,0.351914584739899
TX,18,TX-18,2022,0.769063068144597
TX,19,TX-19,2022,0.24582730273801554
TX,20,TX-20,2022,0.6695915896288346
TX,21,TX-21,2022,0.35266082953981936
TX,22,TX-22,2022,0.37349856402957715
TX,23,TX-23,2022,0.4783942637671414
TX,24,TX-24,2022,0.37411367947403773
TX,25,TX-25,2022,0.30761522892316134
TX,26,TX-26,2022,0.33857431732395454
TX,27,TX-27,2022,0.387348400747086
TX,28,TX-28,2022,0.6001031361437945
TX,29,TX-29,2022,0.7574907217332248
TX,30,TX-30,2022,0.7895684995689177
TX,31,TX-31,2022,0.3402867717269084
TX,32,TX-32,2022,0.6375109730253078
TX,33,TX-33,2022,0.7672588219908757
TX,34,TX-34,2022,0.6881192143414571
TX,35,TX-35,2022,0.725696574028859
TX,36,TX-36,2022,0.32780096462654446
TX,37,TX-37,2022,0.7437031531984961
TX,38,TX-38,2022,0.35965940534479013
UT,01,UT-01,2022,0.39497497364499085
UT,02,UT-02,2022,0.3958857886297996
UT,03,UT-03,2022,0.3611865825525871
UT,04,UT-04,2022,0.3486226034574046
VT,01,VT-01,2022,0.6518642614236054
VA,01,VA-01,2022,0.4274631682816565
VA,02,VA-02,2022,0.4706409731960682
VA,03,VA-03,2022,0.675721908965755
VA,04,VA-04,2022,0.6645225671603675
VA,05,VA-05,2022,0.44046392324964867
VA,06,VA-06,2022,0.3640058741875096
VA,07,VA-07,2022,0.5114961589104745
VA,08,VA-08,2022,0.7777702679450814
VA,09,VA-09,2022,0.28421628284975964
VA,10,VA-10,2022,0.5406491097670441
VA,11,VA-11,2022,0.6823855998662923
WA,01,WA-01,2022,0.6398595681965533
WA,02,WA-02,2022,0.5975818873589466
WA,03,WA-03,2022,0.4589347001450952
WA,04,WA-04,2022,0.3834536697666981
WA,05,WA-05,2022,0.42345980972291897
WA,06,WA-06,2022,0.5652055737867485
WA,07,WA-07,2022,0.8832112152150307
WA,08,WA-08,2022,0.5175729693860982
WA,09,WA-09,2022,0.7338310308956626
WA,10,WA-10,2022,0.5716883925808363
AK,01,AK-01,2022,0.41614345132819636
AL,01,AL-01,2022,0.3495237929620061
AL,02,AL-02,2022,0.3325970382571135
AL,03,AL-03,2022,0.3214554392586172
AL,04,AL-04,2022,0.1858955742078627
AL,05,AL-05,2022,0.3256664421774888
AL,06,AL-06,2022,0.29907878699233276
AL,07,AL-07,2022,0.6568767595929654
AR,01,AR-01,2022,0.3166102664331371
AR,02,AR-02,2022,0.4200517233274007
AR,03,AR-03,2022,0.34486564958216914
AR,04,AR-04,2022,0.34071299328061094
AZ,01,AZ-01,2022,0.47720771295171044
AZ,02,AZ-02,2022,0.4450285037500266
AZ,03,AZ-03,2022,0.7688859086468203
AZ,04,AZ-04,2022,0.5135375965123103
AZ,05,AZ-05,2022,0.3842825740191049
AZ,06,AZ-06,2022,0.4716140465129414
AZ,07,AZ-07,2022,0.6800953917119642
AZ,08,AZ-08,2022,0.39869229755372054
AZ,09,AZ-09,2022,0.3449823825782084
CA,01,CA-01,2022,0.382813827905747
CA,02,CA-02,2022,0.7462219517387677
CA,03,CA-03,2022,0.4577190778533626
CA,04,CA-04,2022,0.6845004137060036
CA,05,CA-05,2022,0.4188501738970092
CA,06,CA-06,2022,0.590602755420551
CA,07,CA-07,2022,0.7053895566317296
CA,08,CA-08,2022,0.7951606948234076
CA,09,CA-09,2022,0.5690336898526522
CA,10,CA-10,2022,0.6927384345377287
CA,11,CA-11,2022,0.906450798608728
CA,12,CA-12,2022,0.9310834519570667
CA,13,CA-13,2022,0.5658526207042776
CA,14,CA-14,2022,0.7504916099009141
CA,15,CA-15,2022,0.8122359708819262
CA,16,CA-16,2022,0.7915309947476429
CA,17,CA-17,2022,0.7854360187059991
CA,18,CA-18,2022,0.7590844789694682
CA,19,CA-19,2022,0.7106330094609572
CA,20,CA-20,2022,0.3370340137293307
CA,21,CA-21,2022,0.6149063013318203
CA,22,CA-22,2022,0.5841109688382289
CA,23,CA-23,2022,0.4211987717128403
CA,24,CA-24,2022,0.6351204501295611
CA,25,CA-25,2022,0.5914017621626455
CA,26,CA-26,2022,0.5917662143882751
CA,27,CA-27,2022,0.5517630374065275
CA,28,CA-28,2022,0.6826983822729767
CA,29,CA-29,2022,0.8241122434979588
CA,30,CA-30,2022,0.7799412130066408
CA,31,CA-31,2022,0.6971631317634509
CA,32,CA-32,2022,0.7374018299339584
CA,33,CA-33,2022,0.6581908831712979
CA,34,CA-34,2022,0.8907016176391895
CA,35,CA-35,2022,0.683025821722792
CA,36,CA-36,2022,0.736090998908827
CA,37,CA-37,2022,0.9237192234482725
CA,38,CA-38,2022,0.6901281983562665
CA,39,CA-39,2022,0.6529420557636801
CA,40,CA-40,2022,0.4771535485485907
CA,41,CA-41,2022,0.4681979444302046
CA,42,CA-42,2022,0.7699197260515511
CA,43,CA-43,2022,0.8808785341443481
CA,44,CA-44,2022,0.7986709963160703
CA,45,CA-45,2022,0.5702909448928349
CA,46,CA-46,2022,0.7099548779653265
CA,47,CA-47,2022,0.5395047118253661
CA,48,CA-48,2022,0.3947831727249571
CA,49,CA-49,2022,0.5297721748090998
CA,50,CA-50,2022,0.6454135611379886
CA,51,CA-51,2022,0.6226100792786552
CA,52,CA-52,2022,0.7458136762454134
CO,01,CO-01,2022,0.7928693930569534
CO,02,CO-02,2022,0.67880335036202
CO,03,CO-03,2022,0.4514576217287892
CO,04,CO-04,2022,0.37349952116580215
CO,05,CO-05,2022,0.40939897066442055
CO,06,CO-06,2022,0.5852766232508687
CO,07,CO-07,2022,0.5414348496762525
CO,08,CO-08,2022,0.5067920736273563
CT,01,CT-01,2022,0.621714249376255
CT,02,CT-02,2022,0.5178781060123145
CT,03,CT-03,2022,0.5722989115361495
CT,04,CT-04,2022,0.6274204356266379
CT,05,CT-05,2022,0.5219780549018042
DC,01,DC-01,2022,0.9569518882606931
DE,01,DE-01,2022,0.5596026803898797
FL,01,FL-01,2022,0.2995062206355179
FL,02,FL-02,2022,0.43787353496418735
FL,03,FL-03,2022,0.4232942007288678
FL,04,FL-04,2022,0.4456457355654447
FL,05,FL-05,2022,0.3846823090714745
FL,06,FL-06,2022,0.3784880279543046
FL,07,FL-07,2022,0.45937502635878447
FL,08,FL-08,2022,0.391808321093956
FL,09,FL-09,2022,0.6374450155123323
FL,10,FL-10,2022,0.6695921730206761
FL,11,FL-11,2022,0.42220250264375647
FL,12,FL-12,2022,0.35194404572640375
FL,13,FL-13,2022,0.4588882063572906
FL,14,FL-14,2022,0.6139358743741624
