id,subgroup,sampleSize,population,weight,grade,multiversions,url,created_at,startDate,endDate,pollster,tracking,answers/0/choice,answers/0/pct,answers/0/adjusted,answers/1/choice,answers/1/pct,answers/1/adjusted
139491,All polls,15000,a,0.20583977,B/C,false,https://morningconsult.com/form/global-leader-approval/,2021-01-28,2021-01-19,2021-01-21,Morning Consult,T,Approve,50,50.451227,Disapprove,28,31.251897
139394,All polls,1993,rv,0.07724261,B/C,false,https://assets.morningconsult.com/wp-uploads/2021/01/21155806/210166_crosstabs_MC_WASHINGTON_RVs_v2.pdf,2021-01-22,2021-01-20,2021-01-21,Morning Consult,,Approve,56,56.451227,Disapprove,31,34.251897
139404,All polls,1115,a,1.2176764,B-,false,https://www.ipsos.com/sites/default/files/ct/news/documents/2021-01/2021_reuters_tracking_-_core_political_presidential_approval_tracker_01_22_2021.pdf,2021-01-22,2021-01-20,2021-01-21,Ipsos,,Approve,55,54.860467,Disapprove,32,32.551917
139422,All polls,941,rv,0.93439744,C,false,https://thehill.com/hilltv/what-americas-thinking/535742-poll-president-bidens-first-approval-of-his-term-at-63-percent,2021-01-25,2021-01-21,2021-01-22,HarrisX,,Approve,63,60.633507,Disapprove,37,35.887624
139489,All polls,1200,rv,0.95522831,B/C,false,https://justthenews.com/politics-policy/polling/poll-nearly-third-voters-disapprove-bidens-job-performance-so-far,2021-01-28,2021-01-21,2021-01-23,RMG Research,,Approve,58,57.101541,Disapprove,32,32.423295
139494,All polls,15000,a,0.5638349300000001,B/C,false,https://morningconsult.com/form/global-leader-approval/,2021-01-28,2021-01-22,2021-01-24,Morning Consult,T,Approve,53,53.451227,Disapprove,29,32.251897
139428,All polls,1500,lv,0.76051207,C+,false,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,2021-01-26,2021-01-21,2021-01-25,Rasmussen Reports/Pulse Opinion Research,T,Approve,48,49.899345,Disapprove,47,42.315632
139456,All polls,809,a,1.8108364,A+,false,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_012721.pdf/,2021-01-27,2021-01-21,2021-01-24,Monmouth University,,Approve,54,54.320269,Disapprove,30,30.991818
139461,All polls,1990,rv,0.07238771,B/C,false,https://assets.morningconsult.com/wp-uploads/2021/01/27081057/210182_crosstabs_POLITICO_RVs_v1_AUTO.pdf,2021-01-27,2021-01-22,2021-01-25,Morning Consult,,Approve,59,59.451227,Disapprove,32,35.251897
139490,All polls,1164,lv,1.2245486,B-,false,https://www.dataforprogress.org/blog/2021/1/28/fifty-seven-percent-of-voters-approve-of-biden-in-his-first-week-as-president,2021-01-28,2021-01-22,2021-01-25,Data for Progress,,Approve,57,56.232541,Disapprove,36,35.383654
